,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,ops,ops.uc1a,ops.uc2a,ops.uc6a,ops.uc7a,ops.uc8a,ops.uc5,ops.eligibleHypothesis,ops.score,ops.predictedDisposition,template
0,AAMGP01468,application,application-AAMGP01468,['IND0001325'],['162blx'],226,MA,AAMGP01468,,Submitted,2021-10-29T00:00:00.0000000,2021-10-23T00:00:00.0000000,Mail,RSL - Apollo,Person,,,2021-10-29T00:00:00.0000000,,,,,,15.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,0.0,0.0,0.0,0.0,6/6,0.0,consistent,application
1,AAMGP01469,application,application-AAMGP01469,['IND9912844'],['470fsx'],226,NJ,AAMGP01469,,Submitted,2021-11-02T00:00:00.0000000,2021-10-29T00:00:00.0000000,Mail,RSL - Apollo,Person,,2021-11-03T00:00:00.0000000,2021-11-02T00:00:00.0000000,,,,,,25.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,0.0,0.0,0.0,5/6,0.0,consistent,application
2,AAMIP01915,application,application-AAMIP01915,['BDB9900496'],['162blx'],226,NC,AAMIP01915,,Submitted,2021-09-30T00:00:00.0000000,2021-09-22T00:00:00.0000000,Mail,RSL - Apollo,Person,,,2021-09-30T00:00:00.0000000,,,,,,25.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,0.0,5/6,0.2,inconsistent,application
3,AAMIP01924,application,application-AAMIP01924,['BDB9921405'],['470djl'],226,CA,AAMIP01924,,Submitted,2021-11-01T00:00:00.0000000,2021-09-13T00:00:00.0000000,Mail,RSL - Apollo,Person,,,2021-11-01T00:00:00.0000000,2021-10-19T00:00:00.0000000,,,,,60.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,0.0,1.0,0.0,1.0,6/6,0.5,inconsistent,application
4,AAMIP01925,application,application-AAMIP01925,['IND9905002'],['470djl'],226,SC,AAMIP01925,,Submitted,2021-11-03T00:00:00.0000000,2021-11-02T00:00:00.0000000,Mail,RSL - Apollo,Person,,2021-11-03T00:00:00.0000000,2021-11-03T00:00:00.0000000,2021-11-03T00:00:00.0000000,,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,0.0,5/6,0.2,inconsistent,application
5,AAMIP01926,application,application-AAMIP01926,['IND9904320'],['470djl'],226,OH,AAMIP01926,,Submitted,2021-11-03T00:00:00.0000000,2021-10-09T00:00:00.0000000,Mail,RSL - Apollo,Person,,2021-11-03T00:00:00.0000000,2021-11-03T00:00:00.0000000,2021-11-03T00:00:00.0000000,,,,,15.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,0.0,0.0,0.0,4/6,0.0,consistent,application
6,ATMGE03564,application,application-ATMGE03564,['BDB9905788'],['WebServices'],226,IN,ATMGE03564,,Submitted,2021-10-26T00:00:00.0000000,2021-10-26T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-26T00:00:00.0000000,2021-10-28T00:00:00.0000000,70000.0,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,0.0,5/6,0.2,inconsistent,application
7,ATMGE03565,application,application-ATMGE03565,['BDB0017619'],['WebServices'],226,PA,ATMGE03565,,Submitted,2021-10-20T00:00:00.0000000,2021-10-20T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-20T00:00:00.0000000,2021-10-20T00:00:00.0000000,,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",,,,,,0.0,1/6,0.0,consistent,application
8,ATMGE03566,application,application-ATMGE03566,['BDB0013042'],['WebServices'],226,PA,ATMGE03566,,Submitted,2021-10-26T00:00:00.0000000,2021-10-26T00:00:00.0000000,E-App,RSL - Eleos,Person,New Money,,2021-10-26T00:00:00.0000000,2021-10-28T00:00:00.0000000,100000.0,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,,0.0,0.0,3/6,0.0,consistent,application
9,ATMGE03567,application,application-ATMGE03567,['BDB0017249'],['WebServices'],226,IN,ATMGE03567,,Submitted,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,E-App,RSL - Eleos,Person,,,2021-10-27T00:00:00.0000000,2021-10-27T00:00:00.0000000,,,,,0.0,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",,,,,,0.0,1/6,0.0,consistent,application
