id,CASEHDRDATA_APPSIGNDATEdiff,CASEHDRDATA_DATEISSUEDdiff,CASEHDRDATA_DATERECEIVEDdiff,CASEHDRDATA_EAPPDATARECEIVEDdiff,CASEHDRDATA_RATELOCKEFFECTIVEDATEdiff,CASEHDRDATA_TIMESTAMPdiff,FINANCIALGOALSDATA_TIMESTAMPdiff,issueDatediff,class,ops.predictedDisposition,ops.score,ops.uc1a,ops.uc2a,ops.uc6a,ops.uc7a,ops.uc8a,policyAge,policyValue,policyWithdrawals,receivedDatediff,shortId,surrenderCharges,modelType_Anniversary,modelType_Calendar Year End,modelType_Cost Basis Adjustment,modelType_Death Claim,modelType_Death Claim - 5YD,modelType_Death Claim Disbursement,modelType_Full Surrender,modelType_Partial Surrender,modelType_Pending Death Claim,modelType_Premium,modelType_Renewal Transaction,modelType_Spousal Continuation,modelType_Systematic Withdrawal,productType_RSL - Apollo,productType_RSL - Eleos,productType_RSL - Keystone,ownerType_Organization,ownerType_Person,template_financial-transaction,template_non-financial-transaction,no_employees,eligible_num
01b70a9d-fdf4-4b54-b026-182884e228af,-43102,-43102,-43102,-43102,-43102,-43102,-43102,-43102,consistent,0,0.0,0.0,0.0,-1.0,0.0,0.0,84.0,0.0,0.0,-43102,2389977,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,4
092de9ec-1427-4eaa-a6a6-db3797a7d30c,-43281,-43281,-43281,-43281,-43281,-43281,-43281,-43281,consistent,1,0.25,0.0,1.0,-1.0,0.0,0.0,71.0,102407.01,4334.78,-43281,2252767,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,4
5a4e1804-f64e-4ffc-9848-c2a2e5b6b6e9,-42885,-42885,-42885,-42885,-42885,-42885,-42885,-42885,consistent,0,0.0,0.0,0.0,-1.0,0.0,0.0,80.0,0.0,0.0,-42885,2391776,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4
5b06de93-62a9-421b-a60a-f407595e7e67,-44103,-44103,-44103,-44103,-44103,-44103,-44103,-44103,consistent,0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,13846.0,0.0,-44103,2195308,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,5
84511f6b-4608-4b07-94b7-666b42a07df3,-43478,-43478,-43478,-43478,-43478,-43478,-43478,-43478,consistent,1,0.3333333333333333,1.0,-1.0,-1.0,0.0,0.0,64.0,0.0,11193.64,-43478,2547916,705.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,3
8b8879cd-ac32-40ee-98d1-11e4e2353196,-42840,-42840,-42840,-42840,-42840,-42840,-42840,-42840,consistent,1,0.25,0.0,0.0,-1.0,1.0,0.0,52.0,23654.84,845.22,-42840,2255157,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,4
8bf449b0-1da6-4e86-8218-9774f17e609a,-42854,-42854,-42854,-42854,-42854,-42854,-42854,-42854,consistent,1,0.25,0.0,0.0,-1.0,1.0,0.0,66.0,70679.43,7500.0,-42854,2388220,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,4
9b195a2d-ccf0-4311-bbd8-96911edc6c65,-43372,-43372,-43372,-43372,-43372,-43372,-43372,-43372,inconsistent,1,0.25,0.0,0.0,-1.0,1.0,0.0,73.0,158842.61,5666.66,-43372,2389920,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,2,4
b69eae63-2f34-460b-ab8a-ee1f608ce2ed,-42854,-42854,-42854,-42854,-42854,-42854,-42854,-42854,consistent,0,0.0,0.0,0.0,-1.0,0.0,0.0,64.0,142348.98,15816.55,-42854,2266846,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,4
c28cba9e-2d4b-420c-923e-7e205ae3a3af,-43780,-43780,-43780,-43780,-43780,-43780,-43780,-43780,consistent,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,-43780,2259213,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,5
