id,shortId,modelType,productType,ownerType,template,NBREPLACEMENTINFODATA_ACCTYPE_VALUE,NBREPLACEMENTINFODATA_EXCHANGETYPE_VALUE,NBPAYMENTSDATA_METHOD,NBANNUITYDATA_APPSTATUS_VALUE,NBANNUITYDATA_APPTYPE_VALUE,NBANNUITYDATA_ISREPLACEMENT_VALUE,NBANNUITYDATA_QUALIFIED_VALUE,NBAGENTDATA_ISPRIMARY_VALUE,NBANNUITYDATA_SYSTEMATICWITHDRAWAL_VALUE,NBANNUITYDATA_ROLLOVER_VALUE,NBANNUITYDATA_PURPOSEOFACCOUNT_VALUE,NBANNUITYDATA_PAYMENTMETHOD_VALUE,NBANNUITYDATA_OWNERRELATION_VALUE,NBANNUITYDATA_OWNERORGTYPE_VALUE,NBANNUITYDATA_OWNERANNUITANTFLAG_VALUE,NBANNUITYDATA_ISGROUP_VALUE,NBANNUITYDATA_EXPECTEDSURRPENALTY_VALUE,NBREPLACEMENTINFODATA_PARTIALORFULL_VALUE,NBREPLACEMENTINFODATA_PAYMENTSOURCETYPE_CODE,NBANNUITYDATA_CHECKFORMS_VALUE,NBANNUITYDATA_COMMOPTIONTYPE_VALUE,NBANNUITYDATA_ANNUITYPOLICYTYPE,NBANNUITYDATA_APPSIGNSTATE_VALUE,NBANNUITYDATA_ANNUITYPOLICYOPTION,NBANNUITYDATA_ANNUITANTMARSTAT_VALUE,NBANNUITYDATA_ADEQUATEASSETS_VALUE,NBANNUITYDATA_ACCOUNTTYPE_VALUE,NBPAYMENTSDATA_PREMIUMTYPE_CODE,NBREPLACEMENTINFODATA_PREVPLANTYPE_VALUE,NBREPLACEMENTINFODATA_REPLCO1035_VALUE,NBANNUITYDATA_ESIGNATUREIND_VALUE,CASEHDRDATA_ISGROUP_VALUE,CASEHDRDATA_STATUS_VALUE,CASEHDRDATA_UNDERWRITINGSTATUS_VALUE,FINANCIALGOALSDATA_ADEQUATEASSETS_VALUE,FINANCIALGOALSDATA_EXPECTEDSURRPENALTY_CODE,FINANCIALGOALSDATA_REVERSEMORTGAGE_CODE,CASEHDRDATA_ESIGNATUREIND_VALUE,agentIds,employeeIds,receivedDate,issueDate,NBANNUITYNBAGENTDATA_TIMESTAMP,NBANNUITYNBREPLACEMENTINFODATA_TIMESTAMP,NBREPLACEMENTINFODATA_TIMESTAMP,NBREPLACEMENTINFODATA_PAPERWORKRECEIVEDDATE,FORMMANAGERDATA_TIMESTAMP,NBANNUITYNBHDRDATA_TIMESTAMP,NBANNUITYFORMMANAGERDATA_TIMESTAMP,NBPAYMENTSDATA_EFFECTIVEDATE,NBPAYMENTSDATA_TIMESTAMP,NBANNUITYDATA_ANNUITYDATE,NBANNUITYDATA_APPDATEISSUED,NBANNUITYDATA_APPDATERECEIVED,NBANNUITYDATA_APPSIGNDATE,NBANNUITYDATA_CHECKENTRYDATE,NBANNUITYDATA_OWNERTRUSTDATE,NBANNUITYDATA_ROTHIRAINCEPTIONDATE,NBANNUITYDATA_TIMESTAMP,NBANNUITYNBPAYMENTSDATA_TIMESTAMP,NBAGENTDATA_TIMESTAMP,NBDECEDENTDATA_DECEDENTDATEOFDEATH,NBANNUITYNBFUNDALLOCHDRDATA_TIMESTAMP,DATE_LOADED,CASEHDRDATA_APPSIGNDATE,CASEHDRDATA_DATEISSUED,CASEHDRDATA_DATERECEIVED,CASEHDRDATA_RATELOCKEFFECTIVEDATE,CASEHDRDATA_TIMESTAMP,FINANCIALGOALSDATA_TIMESTAMP,CASEHDRDATA_EAPPDATARECEIVED,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,NBREPLACEMENTINFODATA_ESTIMATEDVALUE,NBPAYMENTSDATA_AMOUNT,NBPAYMENTSDATA_COMMISSIONRETAINED,NBPAYMENTSDATA_NETCOMMISSIONS,NBANNUITYDATA_EXPECTEDPREM,NBANNUITYDATA_COMMISSIONSWITHHELD,NBAGENTDATA_PERCENTAGE,NBANNUITYDATA_ANNUITANTAGE,NBANNUITYDATA_CASHWITHAPP,NBANNUITYDATA_CHARGESINCURREPLACE,FINANCIALGOALSDATA_SUITABILITYSCORE,FINANCIALGOALSDATA_FORMATNETWORTH,FINANCIALGOALSDATA_EXPECTEDPREM,FINANCIALGOALSDATA_CHARGESINCURREPLACE,ops.uc1a,ops.uc2a,ops.uc6a,ops.uc7a,ops.uc8a,ops.uc5,ops.score,ops.predictedDisposition,ops.eligibleHypothesis,ops.actualDisposition
01b70a9d-fdf4-4b54-b026-182884e228af,2389977,Death Claim Disbursement,RSL - Apollo,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['IND9908376'],"['470jax', 'WebServices']",2021-01-10T00:00:00.0000000,2018-01-04T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,84.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,consistent,4/6,consistent
092de9ec-1427-4eaa-a6a6-db3797a7d30c,2252767,Partial Surrender,RSL - Keystone,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['IND9904238', 'IND9904103']","['470qda', 'WebServices']",2020-12-13T00:00:00.0000000,2018-07-02T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102407.01,71.0,4334.78,0.0,,,,,,,,,,,,,,,,0.0,1.0,,0.0,0.0,,0.25,inconsistent,4/6,consistent
5a4e1804-f64e-4ffc-9848-c2a2e5b6b6e9,2391776,Death Claim Disbursement,RSL - Keystone,Organization,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BDB9915642'],"['470mex', 'WebServices']",2021-01-12T00:00:00.0000000,2017-06-01T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,80.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,consistent,4/6,consistent
5b06de93-62a9-421b-a60a-f407595e7e67,2195308,Premium,RSL - Eleos,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BDB0003447'],['WebServices'],2020-10-04T00:00:00.0000000,2020-10-01T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13846.0,49.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,consistent,5/6,consistent
84511f6b-4608-4b07-94b7-666b42a07df3,2547916,Full Surrender,RSL - Keystone,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BDB0008655'],"['470qda', 'WebServices']",2021-07-11T00:00:00.0000000,2019-01-15T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.0,11193.64,705.2,,,,,,,,,,,,,,,,1.0,,,0.0,0.0,,0.3333333333333333,inconsistent,3/6,consistent
8b8879cd-ac32-40ee-98d1-11e4e2353196,2255157,Systematic Withdrawal,RSL - Apollo,Organization,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['IND9917629', 'IND9918625']",['WebServices'],2020-12-15T00:00:00.0000000,2017-04-17T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23654.84,52.0,845.22,0.0,,,,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,,0.25,inconsistent,4/6,consistent
8bf449b0-1da6-4e86-8218-9774f17e609a,2388220,Partial Surrender,RSL - Keystone,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['IND0000303'],"['470fbd', 'WebServices']",2021-01-05T00:00:00.0000000,2017-05-01T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70679.43,66.0,7500.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,,0.25,inconsistent,4/6,consistent
9b195a2d-ccf0-4311-bbd8-96911edc6c65,2389920,Partial Surrender,RSL - Eleos,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['BDB0006588'],"['725dpl', 'WebServices']",2021-01-10T00:00:00.0000000,2018-10-01T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158842.61,73.0,5666.66,0.0,,,,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,,0.25,inconsistent,4/6,inconsistent
b69eae63-2f34-460b-ab8a-ee1f608ce2ed,2266846,Partial Surrender,RSL - Keystone,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['IND9903168'],"['470qda', 'WebServices']",2020-12-30T00:00:00.0000000,2017-05-01T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142348.98,64.0,15816.55,0.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,consistent,4/6,consistent
c28cba9e-2d4b-420c-923e-7e205ae3a3af,2259213,Death Claim,RSL - Eleos,Person,financial-transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['BDB9905425', 'IND0001743']","['470kjr', 'WebServices']",2020-12-17T00:00:00.0000000,2019-11-13T00:00:00.0000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,58.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,consistent,5/6,consistent
