id,CASEHDRDATA_APPSIGNDATEdiff,CASEHDRDATA_DATEISSUEDdiff,CASEHDRDATA_DATERECEIVEDdiff,CASEHDRDATA_EAPPDATARECEIVEDdiff,CASEHDRDATA_RATELOCKEFFECTIVEDATEdiff,CASEHDRDATA_TIMESTAMPdiff,FINANCIALGOALSDATA_TIMESTAMPdiff,issueDatediff,policyAge,policyValue,policyWithdrawals,receivedDatediff,shortId,class,siu.predictedDisposition,siu.score,siu.uc2e,siu.uc7e,siu.uc8e,surrenderCharges,modelType_Anniversary,modelType_Calendar Year End,modelType_Cost Basis Adjustment,modelType_Death Claim,modelType_Death Claim - 10YD,modelType_Death Claim - 5YD,modelType_Death Claim Disbursement,modelType_Free Look Cancel,modelType_Full Surrender,modelType_Partial Surrender,modelType_Pending Death Claim,modelType_Premium,modelType_Renewal Transaction,modelType_Spousal Continuation,modelType_Systematic Withdrawal,productType_RSL - Apollo,productType_RSL - Apollo 93 BV,productType_RSL - Apollo 93 MVA,productType_RSL - Argus MVA,productType_RSL - Deferral,productType_RSL - Elektra 5 6 7,productType_RSL - Eleos,productType_RSL - Eleos 96 MVA,productType_RSL - Keystone,productType_RSL - Reliance Guarantee,ownerType_Organization,ownerType_Person,template_NON-FINANCIAL,template_financial-transaction,template_non-financial-transaction,no_employees
00cc7b8f-c7a8-4f38-9275-41c800ac0bb3,-43431,-43431,-43431,-43431,-43431,-43431,-43431,-43431,70.0,70010.17,2882.78,-43431,2631260,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2
01518ca5-0ed8-408c-b7ac-220e1fd8bcab,-42977,-42977,-42977,-42977,-42977,-42977,-42977,-42977,68.0,300373.95,11961.95,-42977,2683599,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
01b70a9d-fdf4-4b54-b026-182884e228af,-43102,-43102,-43102,-43102,-43102,-43102,-43102,-43102,84.0,0.0,0.0,-43102,2389977,consistent,1,0.16666666666666666,0.0,0.0,0.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
01d424b3-f962-4c5a-94df-e33087c9b231,-44011,-44011,-44011,-44011,-44011,-44011,-44011,-44011,81.0,0.0,0.0,-44011,2519117,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
04b36813-7665-4c9f-8b0a-3579c795dc62,-43892,-43892,-43892,-43892,-43892,-43892,-43892,-43892,83.0,0.0,3000.0,-43892,2534279,consistent,1,0.5,1.0,0.0,0.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
04dba86c-463c-4ac9-ab5d-dc67944d0af7,-43711,-43711,-43711,-43711,-43711,-43711,-43711,-43711,76.0,0.0,0.0,-43711,2472917,consistent,1,0.5,1.0,0.0,0.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
051146f1-7fe6-4f20-8967-3727b8e22e29,-43158,-43158,-43158,-43158,-43158,-43158,-43158,-43158,41.0,55644.99,1402.33,-43158,2263399,inconsistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2
05496c63-1ff1-465b-a095-08403dc7de91,-44102,-44102,-44102,-44102,-44102,-44102,-44102,-44102,79.0,0.0,0.0,-44102,2562217,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
06ca45b6-8dc1-471b-8fc9-fc38b26e070f,-43862,-43862,-43862,-43862,-43862,-43862,-43862,-43862,77.0,47123.49,5235.94,-43862,2423462,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
07065ac1-cd68-4b9f-b986-c3d261dfa11f,-42885,-42885,-42885,-42885,-42885,-42885,-42885,-42885,66.0,100980.52,11204.51,-42885,2546854,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
