,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,ops,ops.uc1a,ops.uc2a,ops.uc6a,ops.uc7a,ops.uc8a,ops.uc5,ops.eligibleHypothesis,ops.score,ops.predictedDisposition,template
0,004d70c0-d39b-4adc-9cec-c25443cf924f,transaction,transaction-004d70c0-d39b-4adc-9cec-c25443cf924f,['BDB9909609'],['470fbd'],226,,2645705,K5E0006239,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2020-03-02T00:00:00.0000000,,63.0,,,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,financial-transaction
1,005aceab-6080-49b8-9ad7-d23fd683faaa,transaction,transaction-005aceab-6080-49b8-9ad7-d23fd683faaa,['BDB0002536'],"['WebServices', '725dpl']",226,,2644665,ATMIP07869,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Eleos,Person,,,,2020-07-20T00:00:00.0000000,37332.53,76.0,4000.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,financial-transaction
2,00ebc216-2905-45e4-8c5a-f9b0520b59f0,transaction,transaction-00ebc216-2905-45e4-8c5a-f9b0520b59f0,['BDB0007018'],"['WebServices', '470FJX']",226,,2643623,ATMGP01557,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-27T00:00:00.0000000,0.0,64.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,1.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
3,01009f97-998c-4ead-bf85-6fa115e22738,transaction,transaction-01009f97-998c-4ead-bf85-6fa115e22738,['BDB0001005'],"['470kax', 'WebServices']",226,,2654429,ATMGP01561,Completed,2021-11-04T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-28T00:00:00.0000000,0.0,76.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
4,01466bde-2758-4b6c-91a8-075b6c5deb53,transaction,transaction-01466bde-2758-4b6c-91a8-075b6c5deb53,['BDB9901092'],"['WebServices', '470fnx']",226,,2654426,ATMIE21080,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-27T00:00:00.0000000,0.0,74.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
5,0163141c-46df-4ec5-8b0f-aaf009f72438,transaction,transaction-0163141c-46df-4ec5-8b0f-aaf009f72438,['BDB0011994'],"['WebServices', '470lcr']",226,,2645704,RGM5E00361,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Reliance Guarantee,Person,,,,2021-10-29T00:00:00.0000000,0.0,66.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,0.0,0.0,,4/6,0.0,consistent,non-financial-transaction
6,0197291e-a927-440c-ba72-7f6e49532c2c,transaction,transaction-0197291e-a927-440c-ba72-7f6e49532c2c,['BDB0003544'],"['470FJX', 'WebServices']",226,,2654435,ATMIE21238,Completed,2021-11-04T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-11-02T00:00:00.0000000,0.0,85.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,0.0,0.0,,4/6,0.0,consistent,non-financial-transaction
7,01ca9d4a-d0df-4042-bc8e-b8e320726a43,transaction,transaction-01ca9d4a-d0df-4042-bc8e-b8e320726a43,['BDB0010256'],"['WebServices', '470grw']",226,,2645780,KXE0000725,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Keystone,Person,,,,2021-11-01T00:00:00.0000000,0.0,67.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
8,01e96da1-170f-4607-989f-3058f2887873,transaction,transaction-01e96da1-170f-4607-989f-3058f2887873,['BDB9915500'],['470ckx'],226,,2652040,K5E0008747,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Keystone,Person,,,,2021-11-15T00:00:00.0000000,,77.0,,,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,,0.0,,3/6,0.0,consistent,non-financial-transaction
9,01f4003c-80d3-46d4-bcc4-bc9cf71e8e07,transaction,transaction-01f4003c-80d3-46d4-bcc4-bc9cf71e8e07,['BDB9902141'],"['470wbm', 'WebServices']",226,,2649354,K5E0008789,Completed,2021-11-02T00:00:00.0000000,,Issue,RSL - Keystone,Person,,,,2021-11-01T00:00:00.0000000,0.0,74.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
10,020d2de9-c1cd-43dd-946b-ee93d9142d14,transaction,transaction-020d2de9-c1cd-43dd-946b-ee93d9142d14,"['BDB0012278', 'BDB0017767']","['WebServices', '470wbm']",226,,2653381,ATMIE20993,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-22T00:00:00.0000000,0.0,69.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,0.0,0.0,,3/6,0.0,consistent,non-financial-transaction
11,021fbd32-5a82-4e2e-a20c-eb2cbcc7451b,transaction,transaction-021fbd32-5a82-4e2e-a20c-eb2cbcc7451b,['BDB9902266'],"['470ckx', 'WebServices']",226,,2654366,ATMIE20845,Completed,2021-11-04T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-11-04T00:00:00.0000000,0.0,77.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
