,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,siu,siu.uc2e,siu.uc7e,siu.uc8e,siu.eligibleHypothesis,siu.score,siu.predictedDisposition,template
0,002d8609-fa30-4d5b-b5bd-63f6b8aa9b43,transaction,transaction-002d8609-fa30-4d5b-b5bd-63f6b8aa9b43,,"['WebServices', '470fbd']",226,,2654266,ELI003137B,Pending,1900-01-01T00:00:00.0000000,,Full Surrender,RSL - Elektra 5 6 7,,,,,2010-10-12T00:00:00.0000000,0.0,65.0,45453.23,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
1,004d70c0-d39b-4adc-9cec-c25443cf924f,transaction,transaction-004d70c0-d39b-4adc-9cec-c25443cf924f,['BDB9909609'],['470fbd'],226,,2645705,K5E0006239,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2020-03-02T00:00:00.0000000,,63.0,,,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,1.0,0.0,3/3,0.6666666666666666,inconsistent,financial-transaction
2,005aceab-6080-49b8-9ad7-d23fd683faaa,transaction,transaction-005aceab-6080-49b8-9ad7-d23fd683faaa,['BDB0002536'],"['725dpl', 'WebServices']",226,,2644665,ATMIP07869,Completed,2021-10-31T00:00:00.0000000,,Partial Surrender,RSL - Eleos,Person,,,,2020-07-20T00:00:00.0000000,37332.53,76.0,4000.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
3,0089152f-f744-433d-8473-b3e4801afa31,transaction,transaction-0089152f-f744-433d-8473-b3e4801afa31,,"['WebServices', '470qda']",226,,2652115,AASI003327,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Apollo,,,,,2017-01-31T00:00:00.0000000,56639.5,69.0,14159.87,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
4,00ebc216-2905-45e4-8c5a-f9b0520b59f0,transaction,transaction-00ebc216-2905-45e4-8c5a-f9b0520b59f0,['BDB0007018'],"['WebServices', '470FJX']",226,,2643623,ATMGP01557,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-27T00:00:00.0000000,0.0,64.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
5,01009f97-998c-4ead-bf85-6fa115e22738,transaction,transaction-01009f97-998c-4ead-bf85-6fa115e22738,['BDB0001005'],"['WebServices', '470kax']",226,,2654429,ATMGP01561,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-28T00:00:00.0000000,0.0,76.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
6,01466bde-2758-4b6c-91a8-075b6c5deb53,transaction,transaction-01466bde-2758-4b6c-91a8-075b6c5deb53,['BDB9901092'],"['WebServices', '470fnx']",226,,2654426,ATMIE21080,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-27T00:00:00.0000000,0.0,74.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
7,0154b0c6-dce5-49d5-a682-dd72f7a57e05,transaction,transaction-0154b0c6-dce5-49d5-a682-dd72f7a57e05,,"['WebServices', '470qda', '303dwk']",226,,2654288,ATMI501851,Pending Approval,1900-01-01T00:00:00.0000000,,Full Surrender,RSL - Eleos,,,,,2016-10-27T00:00:00.0000000,0.0,73.0,278155.55,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.3333333333333333,0.0,3/3,0.4444444444444444,inconsistent,financial-transaction
8,0163141c-46df-4ec5-8b0f-aaf009f72438,transaction,transaction-0163141c-46df-4ec5-8b0f-aaf009f72438,['BDB0011994'],"['WebServices', '470lcr']",226,,2645704,RGM5E00361,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Reliance Guarantee,Person,,,,2021-10-29T00:00:00.0000000,0.0,66.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
9,0197291e-a927-440c-ba72-7f6e49532c2c,transaction,transaction-0197291e-a927-440c-ba72-7f6e49532c2c,['BDB0003544'],"['WebServices', '470FJX']",226,,2654435,ATMIE21238,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-11-02T00:00:00.0000000,0.0,85.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
